Parameters for this run: 
MM = 256.000000 
t_end = 1.000000 
factor = 0.960000 
dtout = 1.000000 
D = 0.100000 
a = 0.000000 
b = 1.000000 
 
Number of workers = 8
 
# U, u_exact, error at time = 1.000048828125
4.604837653322401692e-01 4.604785322577902296e-01 5.233074449939589812e-06
4.551934268165548358e-01 4.551881993390833880e-01 5.227477471447805613e-06
4.499374819503830780e-01 4.499322617592738105e-01 5.220191109267524610e-06
4.447161054773308697e-01 4.447108942474484738e-01 5.211229882395862489e-06
4.395294657353531198e-01 4.395242651263076006e-01 5.200609045519222207e-06
4.343777246607249398e-01 4.343725363161476949e-01 5.188344577244929923e-06
4.292610377939329314e-01 4.292558633407674851e-01 5.174453165446291081e-06
4.241795542874726155e-01 4.241743953352776764e-01 5.158952194939114833e-06
4.191334169155337408e-01 4.191282750558018577e-01 5.141859731883080542e-06
4.141227620855597036e-01 4.141176388910490225e-01 5.123194510681106095e-06
4.091477198516613178e-01 4.091426168757423820e-01 5.102975918935825916e-06
4.042084139298682266e-01 4.042033327058862646e-01 5.081223981961979774e-06
3.993049617151990249e-01 3.992999037558518927e-01 5.057959347132268135e-06
3.944374743005301109e-01 3.944324410972600559e-01 5.033203270055075507e-06
3.896060564972434470e-01 3.896010495196475798e-01 5.006977595867212472e-06
3.848108068576326368e-01 3.848058275528869476e-01 4.979304745689194789e-06
3.800518176990448915e-01 3.800468674913470846e-01 4.950207697806963125e-06
3.753291751297387902e-01 3.753242554197664393e-01 4.919709972350805316e-06
3.706429590764319104e-01 3.706380712408174904e-01 4.887835614419966390e-06
3.659932433135188456e-01 3.659883887043430262e-01 4.854609175819479816e-06
3.613800954939323518e-01 3.613752754382338894e-01 4.820055698462333282e-06
3.568035771816249757e-01 3.567987929809287584e-01 4.784200696217322246e-06
3.522637438856463521e-01 3.522589968155082074e-01 4.747070138144682261e-06
3.477606450957886342e-01 3.477559364053599555e-01 4.708690428678607987e-06
3.432943243197769112e-01 3.432896552313852157e-01 4.669088391695552787e-06
3.388648191219753025e-01 3.388601908307247168e-01 4.628291250585725436e-06
3.344721611635836367e-01 3.344675748369732027e-01 4.586326610434010576e-06
3.301163762442962391e-01 3.301118330218565378e-01 4.543222439701288806e-06
3.257974843453947944e-01 3.257929853383437768e-01 4.499007051017578362e-06
3.215154996742481952e-01 3.215110459651655539e-01 4.453709082641310602e-06
3.172704307101889554e-01 3.172660233527082596e-01 4.407357480695761609e-06
3.130622802517380454e-01 3.130579202702598041e-01 4.359981478241348185e-06
3.088910454651485615e-01 3.088867338545702168e-01 4.311610578344726719e-06
3.047567179342379751e-01 3.047524556597042134e-01 4.262274533761711837e-06
3.006592837114794303e-01 3.006550717081507562e-01 4.212003328674107649e-06
2.965987233703208936e-01 2.965945625431617438e-01 4.160827159149782517e-06
2.925750120587018999e-01 2.925709032822870759e-01 4.108776414823989143e-06
2.885881195537365329e-01 2.885840636720777841e-01 4.055881658748816676e-06
2.846380103175316645e-01 2.846340081439213687e-01 4.002173610295756134e-06
2.807246435541084217e-01 2.807206958709852485e-01 3.947683123173284514e-06
2.768479732673958527e-01 2.768440808262258024e-01 3.892441170050275900e-06
2.730079483202641488e-01 2.730041118414430201e-01 3.836478821128697092e-06
2.692045124945656176e-01 2.692007326673395706e-01 3.779827226046972299e-06
2.654376045521512073e-01 2.654338820345550909e-01 3.722517596116414751e-06
2.617071582968301668e-01 2.617034937156460517e-01 3.664581184115167645e-06
2.580131026372396996e-01 2.580094965879731195e-01 3.606049266580146906e-06
2.543553616505934700e-01 2.543518146974677041e-01 3.546953125765917036e-06
2.507338546472740459e-01 2.507303673232436081e-01 3.487324030437832789e-06
2.471484962362386628e-01 2.471450690430194719e-01 3.427193219190938223e-06
2.435991963912040315e-01 2.435958297993237043e-01 3.366591880327174380e-06
2.400858605175779092e-01 2.400825549664422631e-01 3.305551135646123129e-06
2.366083895201046006e-01 2.366051454180817526e-01 3.244102022847972222e-06
2.331666798711909128e-01 2.331634975957144196e-01 3.182275476493190425e-06
2.297606236798808987e-01 2.297575035775686336e-01 3.120102312265116140e-06
2.263901087614450247e-01 2.263870511482358738e-01 3.057613209150877864e-06
2.230550187075526491e-01 2.230520238688599166e-01 2.994838692732537666e-06
2.197552329569934793e-01 2.197523011478759170e-01 2.931809117562300671e-06
2.164906268669171407e-01 2.164877583122644111e-01 2.868554652729615739e-06
2.132610717845566661e-01 2.132582666792935955e-01 2.805105263070650778e-06
2.100664351194051482e-01 2.100636936287095802e-01 2.741490695568060687e-06
2.069065804158118360e-01 2.069039026753504151e-01 2.677740461420885509e-06
2.037813674259670305e-01 2.037787535421454743e-01 2.613883821556139964e-06
2.006906521832426404e-01 2.006881022334704445e-01 2.549949772195914122e-06
1.976342870758577008e-01 1.976318011088301629e-01 2.485967027537894225e-06
1.946121209208364899e-01 1.946096989568285585e-01 2.421964007931487473e-06
1.916239990382287706e-01 1.916216410694060457e-01 2.357968822724876290e-06
1.886697633255602358e-01 1.886674693163020722e-01 2.294009258163587361e-06
1.857492523324832667e-01 1.857470222197211696e-01 2.230112762097169465e-06
1.828623013355964444e-01 1.828601350291653160e-01 2.166306431128361965e-06
1.800087424134033942e-01 1.800066397964056319e-01 2.102616997762263296e-06
1.771884045213805159e-01 1.771863654505645425e-01 2.039070815973431650e-06
1.744011135671236778e-01 1.743991378732738795e-01 1.975693849798343393e-06
1.716466924855449827e-01 1.716447799738838320e-01 1.912511661150695375e-06
1.689249613140903217e-01 1.689231117646934344e-01 1.849549396887306685e-06
1.662357372679484635e-01 1.662339504361709519e-01 1.786831777511599384e-06
1.635788348152243665e-01 1.635771104321380731e-01 1.724383086293412859e-06
1.609540657520471263e-01 1.609524035248895979e-01 1.662227157528395338e-06
1.583612392775865241e-01 1.583596388902196450e-01 1.600387366879063578e-06
1.558001620689493383e-01 1.557986231823299539e-01 1.538886619384394194e-06
1.532706383559298280e-01 1.532691606085885283e-01 1.477747341299684436e-06
1.507724699955864112e-01 1.507710530041171948e-01 1.416991469216366539e-06
1.483054565466200014e-01 1.483040999061790988e-01 1.356640440902667777e-06
1.458693953435267199e-01 1.458680986283389380e-01 1.296715187781849465e-06
1.434640815705008343e-01 1.434628443343771709e-01 1.237236123663443266e-06
1.410893083350624744e-01 1.410881301119231157e-01 1.178223139358669513e-06
1.387448667413857528e-01 1.387437470457932864e-01 1.119695592466385392e-06
